name,weight,area,height,wall_thickness,inertia,plastic,radius,moment self,compression self
HSS304.8X304.8X7.9,72.6,9435,305,7.94,138759196,934217,121.2742372,1.4837625,3.56103
HSS203.2X203.2X12.7,72.5,9667,203,12.7,58348383,613225,77.68964968,1.48171875,3.556125
HSS177.8X177.8X15.9,75.3,10310,178,15.9,45149704,557060,66.17704788,1.53894375,3.693465
HSS228.6X228.6X12.7,82.6,10988,229,12.7,85680506,792238,88.30410523,1.6881375,4.05153
HSS355.6X355.6X7.9,85.3,11054,356,7.94,223198664,1282530,142.0949,1.74331875,4.183965
HSS304.8X304.8X9.5,86.3,11263,305,9.53,163885986,1109324,120.6251224,1.76375625,4.233015
HSS203.2X203.2X15.9,88.0,11900,203,15.9,69426813,742136,76.38325515,1.7985,4.3164
HSS254X254X12.7,92.7,12258,254,12.7,118955473,985955,98.51031249,1.89455625,4.546935
HSS406.4X406.4X7.9,97.9,12642,406,7.94,333868049,1677476,162.5073145,2.00083125,4.801995
HSS355.6X355.6X9.5,102,13207,356,9.53,264239993,1525327,141.4457852,2.084625,5.0031
HSS228.6X228.6X15.9,101,13553,229,15.9,102578469,962726,86.9977107,2.0641875,4.95405
HSS304.8X304.8X12.7,113,14849,305,12.7,211445724,1446772,119.3309753,2.3094375,5.54265
HSS406.4X406.4X9.5,117,15113,406,9.53,395942968,1997341,161.8581997,2.3911875,5.73885
HSS254X254X15.9,113,15143,254,15.9,143081687,1201862,97.20391796,2.3094375,5.54265
HSS355.6X355.6X12.7,133,17440,356,12.7,342557809,1995676,140.1516381,2.7181875,6.52365
HSS254X254X19,133,17946,254,19.1,165040739,1405200,95.89752343,2.7181875,6.52365
HSS304.8X304.8X15.9,139,18387,305,15.9,256123920,1771871,118.0245808,2.8408125,6.81795
HSS406.4X406.4X12.7,153,19980,406,12.7,515091403,2619331,160.5640526,3.1269375,7.50465
HSS355.6X355.6X15.9,164,21630,356,15.9,416990116,2452162,138.8452436,3.35175,8.0442
HSS304.8X304.8X19,164,21843,305,19.1,297566868,2081615,116.7181862,3.35175,8.0442
HSS457.2X457.2X12.7,174,22570,457,12.7,742576843,3342682,181.3847155,3.556125,8.5347
HSS406.4X406.4X15.9,189,24810,406,15.9,629265202,3226174,159.2576581,3.8626875,9.27045
HSS508X508X12.7,194,25161,508,12.7,1028767997,4154121,202.2053783,3.964875,9.5157
HSS355.6X355.6X19,194,25739,356,19.1,486906017,2890508,137.5388491,3.964875,9.5157
HSS457.2X457.2X15.9,215,28054,457,15.9,909739472,4124867,180.0783209,4.3940625,10.54575
HSS406.4X406.4X19.0,224,29559,406,19.1,737459708,3812146,157.9512636,4.578,10.9872
