name,weight,area,depth,flange_width,web_thickness,flange_thickness,inertia_x,plastic_x,radius_x,inertia_y,plastic_y,radius_y,moment_self,compression_self
W310X129,129,16500,318,307,13.1,20.6,308,2160,137,100,990,78,2.6364375,6.32745
W250X131,131,16800,274,262,15.4,25.1,222,1850,115,74.5,870,66.8,2.6773125,6.42555
W410X132,132,16900,427,264,13.3,22.2,541,2870,179,67.8,788,63.2,2.69775,6.4746
W760X134,134,17000,749,264,11.9,15.5,1500,4640,297,47.9,569,53.1,2.738625,6.5727
W360X134,134,17100,356,368,11.2,18,416,2570,156,151,1240,94,2.738625,6.5727
W530X138,138,17600,549,214,14.7,23.6,862,3620,221,38.7,569,46.7,2.820375,6.7689
W690X140,140,17800,683,254,12.4,18.9,1360,4560,277,51.6,636,53.8,2.86125,6.867
W610X140,140,17900,617,230,13.1,22.2,1120,4160,251,45.4,615,50.3,2.86125,6.867
W310X143,143,18200,323,310,14,22.9,347,2410,138,112,1110,78.5,2.9225625,7.01415
W460X144,144,18400,472,282,13.6,22.1,728,3460,199,83.7,906,67.3,2.943,7.0632
W760X147,147,18700,754,267,13.2,17,1660,5110,297,53.3,633,53.3,3.0043125,7.21035
W360X147,147,18800,361,371,12.3,19.8,462,2830,157,167,1370,94.2,3.0043125,7.21035
W250X149,149,18900,282,262,17.3,28.4,259,2130,117,86.2,1000,67.3,3.0451875,7.30845
W410X149,149,19000,432,264,14.9,25,620,3240,180,77.4,900,63.8,3.0451875,7.30845
W530X150,150,19200,544,312,12.7,20.3,1010,4150,229,103,1010,73.4,3.065625,7.3575
W690X152,152,19400,688,254,13.1,21.1,1510,5000,279,57.9,711,54.6,3.1065,7.4556
W610X153,153,19500,622,229,14,24.9,1250,4590,254,49.5,680,50.5,3.1269375,7.50465
W610X155,155,19800,612,325,12.7,19.1,1290,4740,257,108,1020,73.9,3.1678125,7.60275
W460X158,158,20100,475,284,15,23.9,795,3770,199,91.6,991,67.6,3.229125,7.7499
W310X158,158,20100,328,310,15.5,25.1,388,2690,139,125,1230,79,3.229125,7.7499
W760X161,161,20500,757,267,13.8,19.3,1860,5670,302,60.8,719,54.6,3.2904375,7.89705
W360X162,162,20600,363,371,13.3,21.8,516,3150,158,186,1520,94.7,3.310875,7.9461
W530X165,165,21000,546,312,14,22.2,1110,4570,230,114,1120,73.7,3.3721875,8.09325
W250X167,167,21200,290,264,19.2,31.8,298,2410,118,98.2,1130,68.1,3.4130625,8.19135
W690X170,170,21700,693,257,14.5,23.6,1700,5620,279,66.2,808,55.4,3.474375,8.3385
W760X173,173,22100,762,267,14.4,21.6,2050,6190,305,68.3,806,55.6,3.5356875,8.48565
W610X174,174,22200,617,325,14,21.6,1470,5360,257,124,1170,74.7,3.556125,8.5347
W840X176,176,22400,836,292,14,18.8,2460,6800,330,77.8,841,58.9,3.597,8.6328
W460X177,177,22600,483,287,16.6,26.9,912,4290,201,105,1130,68.3,3.6174375,8.68185
W310X179,179,22700,333,312,18,28.2,445,3050,140,144,1400,79.5,3.6583125,8.77995
W360X179,179,22800,368,373,15,23.9,574,3470,158,206,1670,95,3.6583125,8.77995
W530X182,182,23200,551,315,15.2,24.4,1230,5030,231,127,1240,74.2,3.719625,8.9271
W760X185,185,23500,767,267,14.9,23.6,2230,6690,307,75.3,885,56.6,3.7809375,9.07425
W690X192,192,24400,701,254,15.5,27.9,1980,6470,284,76.6,944,56.1,3.924,9.4176
